,title,release_date,rating,popularity,original_language,overview
0,Spider-Man: Brand New Day,2026-07-29,7.885,1875.3748,en,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.
1,The Odyssey,2026-07-15,7.982,728.3957,en,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point."
2,Spider-Man: No Way Home,2021-12-15,7.94,386.8832,en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
3,Toy Story 5,2026-06-17,7.9,404.7642,en,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime."
4,Rage of Stars,2026-08-06,4.833,370.7603,en,"A story about a woman from the International Special Forces Unit, who has a premonition about the impending end of humanity."
5,Colony,2026-05-21,8.104,292.2132,ko,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations."
6,Minions & Monsters,2026-06-24,7.5,264.2694,en,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created."
7,The Last House,2026-08-06,6.907,218.8879,en,A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.
8,Obsession,2026-05-13,8.228,232.9651,en,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price."
9,The End of Oak Street,2026-08-12,6.482,202.1509,en,"After a mysterious cosmic event rips Oak Street from suburbia and transports their neighborhood to someplace unknown, the Platt family soon discovers that their very survival depends on them sticking together as they navigate their now unrecognizable surroundings."
10,The Death of Robin Hood,2026-06-18,6.276,204.5826,en,"Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation."
11,Moana,2026-07-08,6.01,194.8449,en,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people."
12,Disclosure Day,2026-06-10,7.458,167.6166,en,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding."
13,Evil Dead Burn,2026-07-07,7.9,153.2715,en,"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death."
14,Supergirl,2026-06-24,6.745,131.9168,en,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice."
15,Hotel Desire,2011-12-07,6.171,138.4892,de,"Antonia is a single mother who works as a hotel maid in Berlin. A normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel, famous blind portrait painter Julius Pass."
16,Soulm8te,2026-07-31,7.232,120.8394,en,"After a ruthless tech giant acquires a small robotics company, a grieving engineer is tasked with testing their new AI companion. But when he attempts to reprogram her to be a truly sentient soulmate, she develops needs of her own—unleashing a relentless spree of precision-engineered mayhem."
17,Backrooms,2026-05-27,7.095,131.004,en,A strange doorway appears in the basement of a furniture showroom.
18,Avengers: Doomsday,2026-12-16,0.0,129.3192,en,Beloved heroes from three distinct universes are set on a deadly collision course and face an existential threat unlike anything they've ever encountered.
19,Spider-Man: Homecoming,2017-07-05,7.333,118.0399,en,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges."
